file,line,data_class,generated_class,bases,default_initializer,default_scaler,declares_initializer,declares_scaler
idaes/core/util/testing.py,461,ReactionBlockData,ReactionBlock,ReactionBlockDataBase,,,False,False
idaes/models/control/controller.py,84,PIDControllerData,PIDController,UnitModelBlockData,,,False,False
idaes/models/costing/QGESS.py,74,QGESSCostingData,QGESSCosting,FlowsheetCostingBlockData,,,False,False
idaes/models/costing/SSLW.py,278,SSLWCostingData,SSLWCosting,FlowsheetCostingBlockData,,,False,False
idaes/models/properties/activity_coeff_models/BTX_activity_coeff_VLE.py,43,BTXParameterData,BTXParameterBlock,ActivityCoeffParameterData,,,False,False
idaes/models/properties/activity_coeff_models/activity_coeff_prop_pack.py,101,ActivityCoeffParameterData,ActivityCoeffParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models/properties/activity_coeff_models/activity_coeff_prop_pack.py,720,ActivityCoeffStateBlockData,ActivityCoeffStateBlock,StateBlockData,,,False,False
idaes/models/properties/activity_coeff_models/methane_combustion_ideal.py,44,MethaneParameterData,MethaneParameterBlock,ActivityCoeffParameterData,,,False,False
idaes/models/properties/examples/saponification_reactions.py,47,ReactionParameterData,SaponificationReactionParameterBlock,ReactionParameterBlock,,,False,False
idaes/models/properties/examples/saponification_reactions.py,209,ReactionBlockData,ReactionBlock,ReactionBlockDataBase,,,False,False
idaes/models/properties/examples/saponification_thermo.py,58,PhysicalParameterData,SaponificationParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models/properties/examples/saponification_thermo.py,318,SaponificationStateBlockData,SaponificationStateBlock,StateBlockData,,,False,False
idaes/models/properties/general_helmholtz/helmholtz_functions.py,1101,HelmholtzParameterBlockData,HelmholtzParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models/properties/general_helmholtz/helmholtz_state.py,405,HelmholtzStateBlockData,HelmholtzStateBlock,StateBlockData,,,False,False
idaes/models/properties/iapws95.py,72,Iapws95ParameterBlockData,Iapws95ParameterBlock,HelmholtzParameterBlockData,,,False,False
idaes/models/properties/iapws95.py,86,Iapws95StateBlockData,Iapws95StateBlock,HelmholtzStateBlockData,,,False,False
idaes/models/properties/interrogator/properties_interrogator.py,55,PropertyInterrogatorData,PropertyInterrogatorBlock,PhysicalParameterBlock,,,False,False
idaes/models/properties/interrogator/properties_interrogator.py,318,InterrogatorStateBlockData,InterrogatorStateBlock,StateBlockData,,,False,False
idaes/models/properties/interrogator/reactions_interrogator.py,43,ReactionInterrogatorData,ReactionInterrogatorBlock,ReactionParameterBlock,,,False,False
