file,line,class,method,owner,message
idaes/core/base/components.py,473,IonData,_add_to_electrolyte_component_list,IonData._add_to_electrolyte_component_list,"NotImplementedError('{} The IonData component class is intended as a base class for the AnionData and CationData classes, and should not be used directly'.fo..."
idaes/core/base/control_volume1d.py,2426,ControlVolume1DBlockData,report,ControlVolume1DBlockData.report,"NotImplementedError('\n Due to the difficulty in presenting spatially distributed data\n in a clean format, ControlVolume1D does not currently support\n the ..."
idaes/core/base/control_volume_base.py,125,ControlVolumeScalerBase,_get_reference_state_block,ControlVolumeScalerBase._get_reference_state_block,NotImplementedError('This method is intended to be overridden by other scaler objects inheriting from it.')
idaes/core/base/control_volume_base.py,1118,ControlVolumeBlockData,add_geometry,ControlVolumeBlockData.add_geometry,NotImplementedError('{} control volume class has not implemented a method for add_geometry. Please contact the developer of the ControlVolume class you are u...
idaes/core/base/control_volume_base.py,1341,ControlVolumeBlockData,add_state_blocks,ControlVolumeBlockData.add_state_blocks,NotImplementedError('{} control volume class has not implemented a method for add_state_blocks. Please contact the developer of the ControlVolume class you a...
idaes/core/base/control_volume_base.py,1353,ControlVolumeBlockData,add_reaction_blocks,ControlVolumeBlockData.add_reaction_blocks,NotImplementedError('{} control volume class has not implemented a method for add_reaction_blocks. Please contact the developer of the ControlVolume class yo...
idaes/core/base/control_volume_base.py,1368,ControlVolumeBlockData,add_phase_component_balances,ControlVolumeBlockData.add_phase_component_balances,NotImplementedError('{} control volume class has not implemented a method for add_phase_component_material_balances. Please contact the developer of the Cont...
idaes/core/base/control_volume_base.py,1381,ControlVolumeBlockData,add_total_component_balances,ControlVolumeBlockData.add_total_component_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_component_material_balances. Please contact the developer of the Cont...
idaes/core/base/control_volume_base.py,1394,ControlVolumeBlockData,add_total_element_balances,ControlVolumeBlockData.add_total_element_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_element_material_balances. Please contact the developer of the Contro...
idaes/core/base/control_volume_base.py,1407,ControlVolumeBlockData,add_total_material_balances,ControlVolumeBlockData.add_total_material_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_material_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/control_volume_base.py,1420,ControlVolumeBlockData,add_phase_enthalpy_balances,ControlVolumeBlockData.add_phase_enthalpy_balances,NotImplementedError('{} control volume class has not implemented a method for add_phase_enthalpy_balances. Please contact the developer of the ControlVolume ...
